var.lon,var.lat,variety_name,locations,uniling,uni.lon,uni.lat,m,km,miles,minutes,hours,mode,FreqPapers,Corpus,AreaIncome,Metropolitan
-1.890401,52.48624299999999,Birmingham,"Birmingham, UK",University of Birmingham,-1.9305135,52.4508168,965,0.965,0.599651,3.1333333333333333,0.052222222222222225,driving,1,1,16932,1
-2.081112,52.512255,Black_Country,"Dudley, UK",University of Wolverhampton,-2.1274832,52.5880528,35367,35.367,21.9770538,30.816666666666666,0.5136111111111111,driving,1,0,16932,0
-2.58791,51.454513,Bristol,"Bristol, UK",University of the West of England,-2.5474336,51.5006453,21811,21.811,13.553355400000001,32.15,0.5358333333333334,driving,2,0,16932,1
-2.6103158,53.23263439999999,Cheshire,"Cheshire, UK",Liverpool Hope University,-2.892276,53.3908932,24761,24.761,15.386485400000002,30.5,0.5083333333333333,driving,0,0,16861,0
-5.0527125,50.26604709999999,Cornwall,"Cornwall, UK",Plymouth Marjon University,-4.1100232,50.4201217,41551,41.551,25.8197914,42.55,0.7091666666666666,driving,1,0,18984,0
-1.8811598,54.7294099,County Durham,"County Durham, UK",Newcastle University,-1.6146608,54.9791871,3371,3.371,2.0947394,6.516666666666667,0.10861111111111112,driving,0,0,15809,0
-1.519693,52.406822,Coventry,"Coventry, UK",Coventry University,-1.5037461,52.4071747,6796,6.796,4.2230344,12.366666666666667,0.2061111111111111,driving,1,0,16885,1
-2.7974835,54.5772323,Cumbrian,"Cumbria, UK",Lancaster University,-2.7877294,54.0103942,43589,43.589,27.086204600000002,41.68333333333333,0.6947222222222222,driving,0,0,16861,0
0.4856781,51.57424469999999,Essex,"Essex, UK",Queen Mary University of London,-0.0403745,51.5240671,45334,45.334,28.170547600000003,47.56666666666667,0.7927777777777778,driving,2,1,16932,0
-1.3080629,51.05769480000001,Hampshire,"Hampshire, UK",University of Winchester,-1.3276641,51.0600256,458,0.458,0.2846012,1.25,0.020833333333333332,driving,0,0,22568,0
0.5217254000000001,51.2787075,Kent,"Kent, UK",University of Kent,1.063004,51.2967395,1831,1.831,1.1377834,4.516666666666667,0.07527777777777778,driving,0,0,22568,0
-2.7044052,53.7632254,Lancashire,"Lancashire, UK",University of Central Lancashire,-2.708346,53.7645095,50732,50.732,31.524864800000003,47.733333333333334,0.7955555555555556,driving,2,0,16861,0
-0.1601246,52.9451889,Lincolnshire,"Lincolnshire, UK","Bishop Grosseteste University, Longdales Road, Lincoln",-0.5365941,53.2438852,295,0.295,0.183313,1,0.016666666666666666,driving,0,0,16932,0
-2.9436644,53.3976041,Merseyside,"Merseyside, UK",University of Liverpool,-2.965299,53.40478239999999,44230,44.23,27.484522000000002,34.666666666666664,0.5777777777777777,driving,0,0,16861,0
0.8864021,52.6139686,Norfolk,"Norfolk, UK","University Centre West Anglia (College of West Anglia, CWA and UcWA)",0.4082599,52.7572169,2514,2.514,1.5621996,7.216666666666667,0.12027777777777778,driving,0,0,16932,0
-2.0784138,55.2082542,Northumbrian,"Northumberland, UK",Newcastle University,-1.6146608,54.9791871,57253,57.253,35.5770142,50.28333333333333,0.8380555555555556,driving,1,0,15809,0
-4.1426565,50.3754565,Plymouth,"Plymouth, UK",Plymouth Marjon University,-4.1100232,50.4201217,10298,10.298,6.3991772000000005,19.5,0.325,driving,0,0,18984,1
-1.0879769,50.8197675,Portsmouth,"Portsmouth, UK",University of Portsmouth,-1.09735,50.7938613,88813,88.813,55.1883982,66.3,1.105,driving,0,0,18984,1
-2.0571868,52.8792745,Staffordshire,"Staffordshire, UK",University of Wolverhampton,-2.1274832,52.5880528,2323,2.323,1.4435122,3.183333333333333,0.05305555555555556,driving,0,0,16885,0
0.9707800999999999,52.1872472,Suffolk,"Suffolk, UK","University of Suffolk, Ipswich",1.163448,52.0522615,38159,38.159,23.7120026,48.083333333333336,0.8013888888888889,driving,3,0,16932,0
-1.383801,54.906869,Sunderland,"Sunderland, UK",Newcastle University,-1.6146608,54.9791871,87567,87.567,54.4141338,74.13333333333334,1.2355555555555555,driving,1,0,15809,1
-0.4617075,50.9280143,Sussex,"Sussex, UK",University of Sussex,-0.0875492,50.8677123,38665,38.665,24.026431000000002,35.266666666666666,0.5877777777777777,driving,0,0,22568,0
-1.61778,54.978252,Tyneside,"Newcastle upon Tyne, UK",Newcastle University,-1.6146608,54.9791871,9394,9.394,5.8374316,12.233333333333333,0.2038888888888889,driving,14,1,15809,1
-1.0792403,53.9590858,Yorkshire,"Yorkshire, UK",York St John University,-1.0808695,53.9654755,5002,5.002,3.1082428,9.583333333333334,0.1597222222222222,driving,1,0,16119,0
