lon,lat,variety_name,locations
-1.890401,52.486243,Birmingham,"Birmingham, UK"
-2.081112,52.512255,Black_Country,"Dudley, UK"
-2.58791,51.454513,Bristol,"Bristol, UK"
-2.6103158,53.2326344,Cheshire,"Cheshire, UK"
-5.0527125,50.2660471,Cornwall,"Cornwall, UK"
-1.8811598,54.7294099,County Durham,"County Durham, UK"
-1.519693,52.406822,Coventry,"Coventry, UK"
-2.7974835,54.5772323,Cumbrian,"Cumbria, UK"
0.4856781,51.5742447,Essex,"Essex, UK"
-1.3080629,51.0576948,Hampshire,"Hampshire, UK"
0.5217254,51.2787075,Kent,"Kent, UK"
-2.7044052,53.7632254,Lancashire,"Lancashire, UK"
-0.1601246,52.9451889,Lincolnshire,"Lincolnshire, UK"
-2.9436644,53.3976041,Merseyside,"Merseyside, UK"
0.8864021,52.6139686,Norfolk,"Norfolk, UK"
-2.0784138,55.2082542,Northumbrian,"Northumberland, UK"
-4.1426565,50.3754565,Plymouth,"Plymouth, UK"
-1.0879769,50.8197675,Portsmouth,"Portsmouth, UK"
-2.0571868,52.8792745,Staffordshire,"Staffordshire, UK"
0.9707801,52.1872472,Suffolk,"Suffolk, UK"
-1.383801,54.906869,Sunderland,"Sunderland, UK"
-0.4617075,50.9280143,Sussex,"Sussex, UK"
-1.61778,54.978252,Tyneside,"Newcastle upon Tyne, UK"
-1.0792403,53.9590858,Yorkshire,"Yorkshire, UK"
